index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Generation Actual (in MU),Total Generation Estimated (in MU),Year,Month,DayOfWeek
210,2017-10-14,Northern,618.71,684.25,25.8,36.09,157.46,170.48,801.97,890.82,2017,10,5
212,2017-10-14,Southern,598.81,558.71,47.73,46.41,92.06,95.59,738.5999999999999,700.71,2017,10,5
213,2017-10-14,Eastern,486.88,419.29,0.0,0.0,63.36,74.79,550.24,494.08000000000004,2017,10,5
214,2017-10-14,NorthEastern,29.16,28.71,0.0,0.0,17.17,20.9,46.33,49.61,2017,10,5
215,2017-10-15,Northern,633.77,655.21,25.8,36.08,157.46,165.81,817.03,857.1000000000001,2017,10,6
217,2017-10-15,Southern,594.31,478.54,47.73,46.67,92.06,88.74,734.0999999999999,613.95,2017,10,6
218,2017-10-15,Eastern,486.88,407.83,0.0,0.0,63.36,76.3,550.24,484.13,2017,10,6
219,2017-10-15,NorthEastern,29.16,29.87,0.0,0.0,17.17,23.29,46.33,53.16,2017,10,6
220,2017-10-16,Northern,626.17,656.71,25.8,36.31,157.46,161.47,809.43,854.49,2017,10,0
222,2017-10-16,Southern,602.87,493.32,47.73,48.22,92.06,96.55,742.6600000000001,638.0899999999999,2017,10,0
223,2017-10-16,Eastern,486.88,413.23,0.0,0.0,63.36,49.46,550.24,462.69,2017,10,0
224,2017-10-16,NorthEastern,29.16,30.68,0.0,0.0,17.17,21.29,46.33,51.97,2017,10,0
225,2017-10-17,Northern,629.21,684.75,25.8,36.35,157.46,160.11,812.47,881.21,2017,10,1
227,2017-10-17,Southern,602.87,528.9,47.73,50.7,92.06,98.5,742.6600000000001,678.1,2017,10,1
228,2017-10-17,Eastern,486.88,436.6,0.0,0.0,63.36,63.63,550.24,500.23,2017,10,1
229,2017-10-17,NorthEastern,29.16,34.05,0.0,0.0,17.17,20.2,46.33,54.25,2017,10,1
230,2017-10-18,Northern,629.21,670.18,25.8,36.43,157.46,156.53,812.47,863.1399999999999,2017,10,2
232,2017-10-18,Southern,589.87,510.02,47.73,52.29,92.06,85.72,729.6600000000001,648.03,2017,10,2
233,2017-10-18,Eastern,486.88,432.78,0.0,0.0,63.36,59.9,550.24,492.67999999999995,2017,10,2
234,2017-10-18,NorthEastern,29.16,33.71,0.0,0.0,17.17,20.02,46.33,53.730000000000004,2017,10,2
235,2017-10-19,Northern,639.52,628.37,25.8,36.34,157.46,157.32,822.78,822.03,2017,10,3
237,2017-10-19,Southern,594.32,464.41,47.73,41.63,92.06,85.16,734.1100000000001,591.2,2017,10,3
238,2017-10-19,Eastern,486.88,421.01,0.0,0.0,63.36,54.78,550.24,475.78999999999996,2017,10,3
239,2017-10-19,NorthEastern,29.16,31.1,0.0,0.0,17.17,17.45,46.33,48.55,2017,10,3
240,2017-10-20,Northern,628.36,588.78,25.8,36.12,157.46,154.62,811.62,779.52,2017,10,4
242,2017-10-20,Southern,594.32,483.91,47.73,43.79,92.06,90.58,734.1100000000001,618.2800000000001,2017,10,4
243,2017-10-20,Eastern,484.8,405.91,0.0,0.0,63.36,55.7,548.16,461.61,2017,10,4
244,2017-10-20,NorthEastern,29.16,28.76,0.0,0.0,17.17,16.83,46.33,45.59,2017,10,4
245,2017-10-21,Northern,628.36,580.35,25.8,36.26,157.46,152.29,811.62,768.9,2017,10,5
247,2017-10-21,Southern,594.32,525.17,47.73,44.67,92.06,77.77,734.1100000000001,647.6099999999999,2017,10,5
248,2017-10-21,Eastern,473.75,396.47,0.0,0.0,63.36,53.33,537.11,449.8,2017,10,5
249,2017-10-21,NorthEastern,29.16,27.34,0.0,0.0,17.17,17.32,46.33,44.66,2017,10,5
250,2017-10-22,Northern,628.36,593.12,25.8,36.44,157.46,151.8,811.62,781.3599999999999,2017,10,6
252,2017-10-22,Southern,594.32,512.06,47.73,46.27,92.06,61.65,734.1100000000001,619.9799999999999,2017,10,6
253,2017-10-22,Eastern,469.18,412.41,0.0,0.0,63.36,54.17,532.54,466.58000000000004,2017,10,6
254,2017-10-22,NorthEastern,29.16,26.81,0.0,0.0,17.17,22.23,46.33,49.04,2017,10,6
255,2017-10-23,Northern,628.36,618.21,25.8,36.49,157.46,149.28,811.62,803.98,2017,10,0
257,2017-10-23,Southern,603.99,555.74,47.73,49.1,92.06,85.78,743.78,690.62,2017,10,0
258,2017-10-23,Eastern,467.82,431.59,0.0,0.0,63.36,53.03,531.18,484.62,2017,10,0
259,2017-10-23,NorthEastern,29.16,28.16,0.0,0.0,17.17,23.78,46.33,51.94,2017,10,0
260,2017-10-24,Northern,625.88,643.17,25.8,36.56,157.46,141.92,809.14,821.65,2017,10,1
262,2017-10-24,Southern,603.99,608.18,47.73,51.06,92.06,72.52,743.78,731.76,2017,10,1
263,2017-10-24,Eastern,467.82,440.35,0.0,0.0,63.36,64.65,531.18,505.0,2017,10,1
264,2017-10-24,NorthEastern,29.16,29.52,0.0,0.0,17.17,23.06,46.33,52.58,2017,10,1
265,2017-10-25,Northern,625.88,639.06,25.8,36.58,157.46,139.43,809.14,815.0699999999999,2017,10,2
267,2017-10-25,Southern,615.28,607.05,47.73,52.72,92.06,89.02,755.0699999999999,748.79,2017,10,2
268,2017-10-25,Eastern,467.82,438.69,0.0,0.0,63.36,58.72,531.18,497.40999999999997,2017,10,2
269,2017-10-25,NorthEastern,29.16,28.7,0.0,0.0,17.17,22.27,46.33,50.97,2017,10,2
270,2017-10-26,Northern,625.88,619.47,25.8,36.55,157.46,138.04,809.14,794.06,2017,10,3
272,2017-10-26,Southern,615.28,599.14,47.73,52.81,92.06,86.3,755.0699999999999,738.25,2017,10,3
273,2017-10-26,Eastern,467.82,439.32,0.0,0.0,63.36,54.62,531.18,493.94,2017,10,3
274,2017-10-26,NorthEastern,29.16,28.93,0.0,0.0,17.17,20.61,46.33,49.54,2017,10,3
275,2017-10-27,Northern,625.88,623.01,25.8,36.65,157.46,138.15,809.14,797.81,2017,10,4
277,2017-10-27,Southern,615.28,610.91,47.73,53.12,92.06,77.1,755.0699999999999,741.13,2017,10,4
278,2017-10-27,Eastern,469.9,429.63,0.0,0.0,63.36,47.09,533.26,476.72,2017,10,4
279,2017-10-27,NorthEastern,29.16,28.62,0.0,0.0,17.17,19.41,46.33,48.03,2017,10,4
280,2017-10-28,Northern,614.95,625.74,25.8,36.6,157.46,135.12,798.21,797.46,2017,10,5
282,2017-10-28,Southern,615.28,604.0,47.73,53.9,92.06,71.45,755.0699999999999,729.35,2017,10,5
283,2017-10-28,Eastern,469.9,429.2,0.0,0.0,63.36,42.38,533.26,471.58,2017,10,5
284,2017-10-28,NorthEastern,29.16,27.32,0.0,0.0,17.17,19.11,46.33,46.43,2017,10,5
285,2017-10-29,Northern,614.95,586.92,25.8,36.66,157.46,132.36,798.21,755.9399999999999,2017,10,6
287,2017-10-29,Southern,615.28,583.51,47.73,55.06,92.06,58.36,755.0699999999999,696.93,2017,10,6
288,2017-10-29,Eastern,469.9,422.93,0.0,0.0,63.36,41.81,533.26,464.74,2017,10,6
289,2017-10-29,NorthEastern,29.16,28.06,0.0,0.0,17.17,19.27,46.33,47.33,2017,10,6
290,2017-10-30,Northern,614.95,582.12,25.8,36.65,157.46,132.53,798.21,751.3,2017,10,0
292,2017-10-30,Southern,615.28,582.53,47.73,55.46,92.06,63.28,755.0699999999999,701.27,2017,10,0
293,2017-10-30,Eastern,469.9,425.51,0.0,0.0,63.36,40.32,533.26,465.83,2017,10,0
294,2017-10-30,NorthEastern,29.16,28.94,0.0,0.0,17.17,19.26,46.33,48.2,2017,10,0
295,2017-10-31,Northern,614.95,587.37,25.8,36.67,157.46,131.11,798.21,755.15,2017,10,1
297,2017-10-31,Southern,622.28,570.04,47.73,55.57,92.06,70.49,762.0699999999999,696.1,2017,10,1
298,2017-10-31,Eastern,469.9,422.94,0.0,0.0,63.36,41.37,533.26,464.31,2017,10,1
299,2017-10-31,NorthEastern,29.16,28.6,0.0,0.0,17.17,19.04,46.33,47.64,2017,10,1
300,2017-11-01,Northern,596.89,597.39,16.8,36.61,117.5,130.08,731.1899999999999,764.08,2017,11,2
302,2017-11-01,Southern,594.88,559.27,47.83,55.68,72.56,55.19,715.27,670.1399999999999,2017,11,2
303,2017-11-01,Eastern,451.11,430.68,0.0,0.0,36.75,39.83,487.86,470.51,2017,11,2
304,2017-11-01,NorthEastern,29.11,32.12,0.0,0.0,12.92,17.97,42.03,50.089999999999996,2017,11,2
